,model_class,index,features
53,Net2r,6,"[[1.8396484851837158, 6.031189441680908, 1.8396484851837158, 6.031189441680908]]"
54,Net2r,7,"[[1.878876805305481, 6.091146469116211, 1.878876805305481, 6.091146469116211]]"
55,Net2r,8,"[[1.912556529045105, 6.007697105407715, 1.912556529045105, 6.007697105407715]]"
56,Net7r,0,"[[2.1591110229492188, 6.014838218688965, 2.1591110229492188, 6.014838218688965]]"
57,Net7r,1,"[[1.9403631687164307, 6.047934532165527, 1.9403631687164307, 6.047934532165527]]"
58,Net7r,2,"[[2.291689395904541, 6.072294235229492, 2.291689395904541, 6.072294235229492]]"
59,Net7r,3,"[[1.9516713619232178, 6.060238838195801, 1.9516713619232178, 6.060238838195801]]"
60,Net7r,4,"[[2.0252561569213867, 6.04158353805542, 2.0252561569213867, 6.04158353805542]]"
61,Net7r,5,"[[2.1568899154663086, 6.083160877227783, 2.1568899154663086, 6.083160877227783]]"
62,Net7r,6,"[[2.059708595275879, 6.0541768074035645, 2.059708595275879, 6.0541768074035645]]"
63,Net7r,7,"[[1.8413833379745483, 5.968548774719238, 1.8413833379745483, 5.968548774719238]]"
64,Net7r,8,"[[2.005985736846924, 6.058115005493164, 2.005985736846924, 6.058115005493164]]"
65,Net7r,9,"[[2.0920937061309814, 6.024136066436768, 2.0920937061309814, 6.024136066436768]]"
66,Net7r,10,"[[1.91201913356781, 6.018045425415039, 1.91201913356781, 6.018045425415039]]"
67,Net6r,0,"[[2.110548734664917, 6.041138648986816, 2.110548734664917, 6.041138648986816]]"
68,Net6r,1,"[[1.9033207893371582, 6.018590450286865, 1.9033207893371582, 6.018590450286865]]"
69,Net6r,2,"[[1.876948595046997, 6.015311241149902, 1.876948595046997, 6.015311241149902]]"
70,Net6r,3,"[[1.8529515266418457, 5.988143444061279, 1.8529515266418457, 5.988143444061279]]"
71,Net6r,4,"[[1.804908037185669, 6.041855812072754, 1.804908037185669, 6.041855812072754]]"
72,Net6r,5,"[[1.8937305212020874, 6.019864559173584, 1.8937305212020874, 6.019864559173584]]"
73,Net6r,6,"[[1.835886001586914, 6.001079559326172, 1.835886001586914, 6.001079559326172]]"
74,Net6r,7,"[[1.9348465204238892, 6.054486274719238, 1.9348465204238892, 6.054486274719238]]"
75,Net6r,8,"[[1.810747504234314, 6.077643871307373, 1.810747504234314, 6.077643871307373]]"
76,Net6r,9,"[[1.800864338874817, 5.997992515563965, 1.800864338874817, 5.997992515563965]]"
77,Net6r,10,"[[2.084089756011963, 6.019675254821777, 2.084089756011963, 6.019675254821777]]"
78,Net6r,11,"[[1.9720245599746704, 6.012688636779785, 1.9720245599746704, 6.012688636779785]]"
79,Net6r,12,"[[1.9481252431869507, 6.019749641418457, 1.9481252431869507, 6.019749641418457]]"
80,Net5r,0,"[[1.7846852540969849, 6.045527935028076, 1.7846852540969849, 6.045527935028076]]"
81,Net5r,1,"[[1.7177377939224243, 5.955885410308838, 1.7177377939224243, 5.955885410308838]]"
82,Net5r,2,"[[1.9926306009292603, 5.994250297546387, 1.9926306009292603, 5.994250297546387]]"
83,Net5r,3,"[[1.8569623231887817, 5.9880499839782715, 1.8569623231887817, 5.9880499839782715]]"
84,Net5r,4,"[[1.826993703842163, 6.03449010848999, 1.826993703842163, 6.03449010848999]]"
85,Net5r,5,"[[1.7884005308151245, 6.040478706359863, 1.7884005308151245, 6.040478706359863]]"
86,Net5r,6,"[[1.7409520149230957, 5.950747966766357, 1.7409520149230957, 5.950747966766357]]"
87,Net5r,7,"[[1.7600046396255493, 6.003712177276611, 1.7600046396255493, 6.003712177276611]]"
88,Net5r,8,"[[1.85417902469635, 6.030029773712158, 1.85417902469635, 6.030029773712158]]"
89,Net5r,9,"[[1.989556908607483, 6.046782970428467, 1.989556908607483, 6.046782970428467]]"
90,Net5r,10,"[[1.8277090787887573, 6.010665416717529, 1.8277090787887573, 6.010665416717529]]"
91,Net5r,11,"[[1.9057164192199707, 6.017884731292725, 1.9057164192199707, 6.017884731292725]]"
92,Net4r,0,"[[1.7042537927627563, 6.005264759063721, 1.7042537927627563, 6.005264759063721]]"
93,Net4r,1,"[[1.8461918830871582, 5.982497215270996, 1.8461918830871582, 5.982497215270996]]"
94,Net4r,2,"[[1.795353889465332, 6.012501239776611, 1.795353889465332, 6.012501239776611]]"
95,Net4r,3,"[[1.6917412281036377, 6.024369239807129, 1.6917412281036377, 6.024369239807129]]"
96,Net4r,4,"[[1.7683085203170776, 6.01658296585083, 1.7683085203170776, 6.01658296585083]]"
97,Net4r,5,"[[1.828335165977478, 6.032875061035156, 1.828335165977478, 6.032875061035156]]"
98,Net4r,6,"[[1.8270772695541382, 5.995156288146973, 1.8270772695541382, 5.995156288146973]]"
99,Net3r,0,"[[1.787657618522644, 6.0469069480896, 1.787657618522644, 6.0469069480896]]"
100,Net3r,1,"[[1.7528349161148071, 6.037435531616211, 1.7528349161148071, 6.037435531616211]]"
101,Net3r,2,"[[1.8922723531723022, 6.057725429534912, 1.8922723531723022, 6.057725429534912]]"
102,Net3r,3,"[[1.7744122743606567, 6.015077590942383, 1.7744122743606567, 6.015077590942383]]"
103,Net3r,4,"[[1.8178725242614746, 6.018758773803711, 1.8178725242614746, 6.018758773803711]]"
104,Net3r,5,"[[1.7884830236434937, 5.987877368927002, 1.7884830236434937, 5.987877368927002]]"
105,Net3r,6,"[[1.7664088010787964, 6.031905174255371, 1.7664088010787964, 6.031905174255371]]"
106,Net3r,7,"[[1.8835296630859375, 6.0312042236328125, 1.8835296630859375, 6.0312042236328125]]"
107,Net2s,0,"[[2.4665441513061523, 6.203998565673828, 2.4665441513061523, 6.203998565673828]]"
108,Net2s,1,"[[2.5002851486206055, 6.178797721862793, 2.5002851486206055, 6.178797721862793]]"
109,Net2s,2,"[[2.4411303997039795, 6.135293483734131, 2.4411303997039795, 6.135293483734131]]"
110,Net2s,3,"[[2.519845485687256, 6.278263568878174, 2.519845485687256, 6.278263568878174]]"
111,Net2s,4,"[[2.580948829650879, 6.236056327819824, 2.580948829650879, 6.236056327819824]]"
112,Net2s,5,"[[2.5549192428588867, 6.214224815368652, 2.5549192428588867, 6.214224815368652]]"
113,Net2s,6,"[[2.473506212234497, 6.1888604164123535, 2.473506212234497, 6.1888604164123535]]"
114,Net2s,7,"[[2.470092296600342, 6.168177604675293, 2.470092296600342, 6.168177604675293]]"
115,Net3s,0,"[[2.963158369064331, 6.430092811584473, 2.963158369064331, 6.430092811584473]]"
116,Net3s,1,"[[2.942336320877075, 6.333047389984131, 2.942336320877075, 6.333047389984131]]"
117,Net3s,2,"[[2.905860185623169, 6.36837911605835, 2.905860185623169, 6.36837911605835]]"
118,Net3s,3,"[[2.927825927734375, 6.3657121658325195, 2.927825927734375, 6.3657121658325195]]"
119,Net3s,4,"[[2.9213786125183105, 6.394149303436279, 2.9213786125183105, 6.394149303436279]]"
